date,open,high,low,close,volume
2024-05-02,80.39,80.945,79.55,80.76,4804858
2024-05-03,82.16,82.64,81.115,81.3,4270214
2024-05-06,81.89,82.0311,81.05,81.37,3044825
2024-05-07,82.01,82.4,81.78,82.14,3667349
2024-05-08,81.69,81.69,81.18,81.45,4129959
2024-05-09,82.1,83.185,82.1,83.12,5452208
2024-05-10,83.25,83.34,82.635,82.89,5649915
2024-05-13,83.2,83.65,82.765,83.16,2848662
2024-05-14,83.72,84.165,83.36,83.8,3099662
2024-05-15,85.03,85.42,84.759,84.96,3544975
2024-05-16,85.04,85.275,84.765,84.9,2577014
2024-05-17,85,85.1,84.58,84.89,2791696
2024-05-20,84.72,84.97,84.29,84.39,2842880
2024-05-21,84.19,84.4954,84.01,84.36,2655107
2024-05-22,84.07,84.41,83.35,83.6,3888208
2024-05-23,83.6,83.6,81.745,81.8,4061082
2024-05-24,82.19,82.3208,81.75,81.86,2317771
2024-05-28,82.25,82.58,81.23,81.32,3046845
2024-05-29,80.5,80.645,80.17,80.53,3203331
2024-05-30,80.93,81.75,80.93,81.71,2748850
2024-05-31,82.21,83.3,81.845,83.24,4176870
2024-06-03,83.688,83.688,82.62,83.05,3301567
2024-06-04,82.81,84.04,82.81,83.69,2720690
2024-06-05,83.74,83.86,83.09,83.59,2373317
2024-06-06,83.2,83.77,82.85,83.75,4002138
2024-06-07,82.43,83.18,82.365,82.96,3227898
2024-06-10,82.7,83.515,82.1,83.24,2450820
2024-06-11,82.85,83.33,82.61,82.94,3261750
2024-06-12,84.69,85.34,83.565,83.68,4123538
2024-06-13,83.87,84.29,83.38,84.02,2619928
2024-06-14,83.73,84.24,83.32,84,2178645
2024-06-17,83.51,84.0895,83.155,83.67,2168125
2024-06-18,83.89,84.31,83.71,84,3073565
2024-06-20,83.74,84.035,83.49,83.76,2432937
2024-06-21,83.92,84.145,83.4,83.97,2340120
2024-06-24,84.01,85.455,83.88,84.62,2834323
2024-06-25,84.48,84.52,83.13,83.58,3749189
2024-06-26,83,83.575,82.841,83.32,3287920
2024-06-27,83.45,84.16,83.26,84.13,4244875
2024-06-28,83.49,84.12,83.125,83.76,4090531
2024-07-01,83.69,83.9,82.465,82.97,3274823
2024-07-02,83.21,83.49,82.88,83.36,3141623
2024-07-03,83.45,83.94,83.27,83.28,1571471
2024-07-05,83.44,83.67,82.98,83.51,3216980
2024-07-08,83.61,83.98,83.4,83.78,3239198
2024-07-09,83.58,84.04,82.95,83.76,2123274
2024-07-10,84.1,84.45,83.57,84.38,2482444
2024-07-11,85.46,87.1,85.46,86.8,4365990
2024-07-12,87.5,88.02,87.14,87.46,3562751
2024-07-15,87.62,88.16,87.37,88.05,2928745
