date,open,high,low,close,volume
2023-08-01,196.235,196.73,195.28,195.605,35281430
2023-08-02,195.04,195.18,191.8507,192.58,50389330
2023-08-03,191.57,192.37,190.69,191.17,62243280
2023-08-04,185.52,187.38,181.92,181.99,115956800
2023-08-07,182.13,183.13,177.35,178.85,97576070
2023-08-08,179.69,180.27,177.58,179.8,67823000
2023-08-09,180.87,180.93,177.01,178.19,60378490
2023-08-10,179.48,180.75,177.6,177.97,54686850
2023-08-11,177.32,178.62,176.55,177.79,52036670
2023-08-14,177.97,179.69,177.305,179.46,43675630
2023-08-15,178.88,179.48,177.05,177.45,43622590
2023-08-16,177.13,178.54,176.5,176.57,46964860
2023-08-17,177.14,177.5054,173.48,174,66062880
2023-08-18,172.3,175.1,171.96,174.49,61172150
2023-08-21,175.07,176.13,173.735,175.84,46311880
2023-08-22,177.06,177.68,176.25,177.23,42084250
2023-08-23,178.52,181.55,178.325,181.12,52722750
2023-08-24,180.674,181.104,176.01,176.38,54945800
2023-08-25,177.38,179.15,175.82,178.61,51449590
2023-08-28,180.09,180.59,178.545,180.19,43820700
2023-08-29,179.695,184.9,179.5,184.12,53003950
2023-08-30,184.94,187.85,184.74,187.65,60813890
2023-08-31,187.84,189.12,187.48,187.87,60794470
2023-09-01,189.485,189.92,188.28,189.46,45766500
2023-09-05,188.28,189.98,187.61,189.7,45280030
2023-09-06,188.4,188.85,181.47,182.91,81755820
2023-09-07,175.18,178.21,173.54,177.56,112488800
2023-09-08,178.35,180.239,177.79,178.18,65602070
2023-09-11,180.07,180.3,177.34,179.36,58953050
2023-09-12,179.49,180.13,174.82,176.3,90370190
2023-09-13,176.51,177.3,173.98,174.21,84267930
2023-09-14,174,176.1,173.58,175.74,60895760
2023-09-15,176.48,176.495,173.82,175.01,109259500
2023-09-18,176.48,179.38,176.17,177.97,67257570
2023-09-19,177.52,179.63,177.13,179.07,51826940
2023-09-20,179.26,179.695,175.4,175.49,58436180
2023-09-21,174.55,176.3,173.86,173.93,63149120
2023-09-22,174.67,177.079,174.05,174.79,56725390
2023-09-25,174.2,176.97,174.15,176.08,46172740
2023-09-26,174.82,175.2,171.66,171.96,64588950
2023-09-27,172.62,173.04,169.05,170.43,66921810
